Type,Yarn#,Description,Pounds,Mill,Usage,Loss%,Lbs/Wk,MillStyle,
Dye,22G-153,RUST MBDC,669,W,,1,,    996-22851-1   ,
Dye,22G-153,RUST MBDC,374,W,,1,,    996-24080-3   ,
Dye,22G-193,NAVY,249,W,,1,,    996-24080-2   ,
Dye,22G-193,NAVY,104,W,,1,,   1001-24183-1   ,
Dye,22G-193,NAVY,104,W,,1,,   1001-24183-2   ,
Dye,22G-193,NAVY,771,W,,1,,    996-24438-2   ,
Dye,22G-241,MARN. MBDC,398,W,,1,,    996-24226-1   ,
Dye,22G-301,CHER. MBDC,120,W,,1,,    996-24226-1   ,
Dye,22G-301,CHER. MBDC,3,W,,1,,   1005-24041-1   ,
Dye,22G-305,BROWN MBDC,28,W,,1,,    996-20549-1   ,
Dye,22G-311,PEACH,295,W,,1,,    996-24080-3   ,
Dye,22G-311,PEACH,32,W,,1,,   1001-24298-1   ,
Dye,22G-322,MARN. MBDC,386,W,,1,,   1001-23935-4   ,
Dye,22G-335,GREEN MBDC,38,W,,1,,   1005-24041-1   ,
Dye,22G-360,COPP MBDC,386,W,,1,,   1001-23935-1   ,
Dye,22G-360,COPP MBDC,161,W,,1,,    996-24076-1   ,
Dye,22G-360,COPP MBDC,197,W,,1,,    996-24080-2   ,
Dye,22G-370,COPP. MBDC,771,W,,1,,   1001-23935-5   ,
Dye,22G-370,COPP. MBDC,66,W,,1,,   1001-24183-1   ,
Dye,22G-370,COPP. MBDC,66,W,,1,,   1001-24183-2   ,
Dye,22G-479,BLUE MBDC,65,W,,1,,   1001-24298-1   ,
Dye,22G-524,RED MBDC,1029,W,,1,,   1001-24145-1   ,
Dye,22G-524,RED MBDC,456,W,,1,,    996-20549-1   ,
Dye,22G-524,RED MBDC,763,W,,1,,    996-24387-1   ,
Dye,22G-536,TURQ. MBDC,101,W,,1,,   1001-24183-1   ,
Dye,22G-575,GREEN MBDC,1336,W,,1,,   1001-23131-2   ,
Dye,22G-575,GREEN MBDC,2520,W,,1,,    996-23335-3   ,
Dye,22G-670,GREEN MBDC,360,W,,1,,   1001-22534-1   ,
Dye,22G-818,BLUE MBDC,326,W,,1,,   1001-24183-2   ,
