Date,Shift,LM#,RANGE,PPM,MPX,WEFT,WARP,OTHER,Combined Stops
07/01/15,1,1,738,305,116,11,28,3,42
07/01/15,1,2,726,315,116,20,31,0,51
07/01/15,1,3,996,220,70,20,6,0,26
07/01/15,1,5,641,370,157,31,4,1,36
07/01/15,1,6,542,370,137,51,11,5,67
07/01/15,1,7,8032,345,120,10,31,1,42
07/01/15,1,8,7652,350,81,12,14,9,35
07/01/15,1,10,542,370,143,20,11,1,32
07/01/15,1,13,3062,350,138,22,15,0,37
07/01/15,1,15,542,350,25,4,0,0,4
07/01/15,1,16,7652,350,112,14,9,2,25
07/01/15,1,17,641,370,123,17,10,0,27
07/01/15,1,18,542,350,75,125,12,3,140
07/01/15,1,19,542,360,101,47,7,0,54
07/01/15,1,20,774,350,25,10,17,1,28
07/01/15,1,21,717,350,152,7,2,0,9
07/01/15,1,22,542,350,2,4,0,0,4
07/01/15,1,23,542,350,17,6,1,0,7
07/01/15,1,24,8032,360,104,6,29,1,36
07/01/15,1,26,542,360,73,24,12,0,36
07/01/15,1,27,542,360,61,40,4,0,44
07/01/15,1,28,8032,375,55,12,41,0,53
07/01/15,1,29,7675,270,78,19,6,0,25
07/01/15,1,30,7675,270,82,14,5,0,19
07/01/15,2,1,738,305,92,14,33,6,53
07/01/15,2,2,726,315,108,7,37,2,46
07/01/15,2,3,996,220,64,24,5,0,29
07/01/15,2,4,737,220,24,14,2,0,16
07/01/15,2,5,641,370,125,5,15,2,22
07/01/15,2,6,542,370,86,45,7,4,56
07/01/15,2,7,8032,345,1,1,0,1,2
07/01/15,2,8,7652,350,90,22,8,1,31
07/01/15,2,9,759,350,31,6,13,3,22
07/01/15,2,10,542,370,92,18,11,1,30
07/01/15,2,13,3062,350,120,9,12,0,21
07/01/15,2,15,542,350,109,11,4,0,15
07/01/15,2,17,641,370,80,16,17,0,33
07/01/15,2,18,542,350,36,86,4,4,94
07/01/15,2,19,542,360,58,33,7,0,40
07/01/15,2,20,774,350,54,13,27,0,40
07/01/15,2,21,717,350,135,3,3,0,6
07/01/15,2,22,542,350,71,46,5,0,51
07/01/15,2,24,8032,360,92,9,16,4,29
07/01/15,2,26,542,360,81,39,5,0,44
07/01/15,2,27,542,360,68,42,12,0,54
07/01/15,2,28,8032,375,61,27,30,1,58
07/01/15,2,29,7675,270,61,21,7,0,28
07/01/15,2,30,7675,270,71,15,6,0,21
07/01/15,3,1,738,305,81,10,25,8,43
07/01/15,3,2,726,315,48,43,10,0,53
07/01/15,3,3,996,220,55,21,5,0,26
07/01/15,3,4,737,220,49,25,8,0,33
07/01/15,3,5,641,370,162,3,14,0,17
07/01/15,3,6,542,370,119,47,14,3,64
07/01/15,3,8,7652,350,123,19,10,1,30
07/01/15,3,9,759,350,121,31,12,3,46
07/01/15,3,10,542,370,144,20,8,0,28
07/01/15,3,13,3062,350,94,8,13,3,24
07/01/15,3,14,7724,360,62,1,0,7,8
07/01/15,3,15,542,350,143,20,2,0,22
07/01/15,3,18,542,350,40,83,0,2,85
07/01/15,3,19,542,360,46,36,9,0,45
