MillStyleKey,DateLastUsed,Yarn#,LbsPerPiece
 3642-23893-   2,07/01/16,36E-001,10.2
 3642-23893-   2,07/01/16,36E-193,10.6
 3642-23893-   2,07/01/16,36E-401,13.1
 3642-23893-   2,07/01/16,36E-447,4.8
 3642-23893-   2,07/01/16,36E-684,3.8
 3642-23893-   2,07/01/16,36E-B91,8.2
 3642-23893-   2,07/01/16,36Y-999,0.6
 3642-23893-   2,07/01/16,P03-001,11.7
  293A17718- V60,07/06/16,26E-V60,86.5
  308A24003-   1,07/07/16,16F-001,36.5
  308A24003-   1,07/07/16,16F-102,36.5
  642A24155-   1,07/07/16,PE5-011,1.7
  642A24155-   1,07/07/16,PE5-141,29.4
  642A24155-   1,07/07/16,PE5-152,1.9
  642A24155-   1,07/07/16,PE5-157,9.6
  642A24155-   1,07/07/16,PE5-181,1.1
  642A24155-   1,07/07/16,PE5-670,7
  697A17620- W34,07/07/16,P75-W34,59.5
  775A23733-   1,07/07/16,96F-183,27.4
  775A23733-   1,07/07/16,96F-188,27.4
 2968A16217-   1,07/07/16,36E-102,3.6
 2968A16217-   1,07/07/16,36E-287,2.8
 2968A16217-   1,07/07/16,36E-289,0.4
 2968A16217-   1,07/07/16,36E-291,5
 2968A16217-   1,07/07/16,36E-292,3.3
 2968A16217-   1,07/07/16,36E-296,2.8
 2968A16217-   1,07/07/16,36E-299,4.3
 2968A16217-   1,07/07/16,36E-320,1.3
 2968A16217-   1,07/07/16,36E-384,30.1
 2968A16217-   1,07/07/16,36E-481,8.4
 2968A16217-   1,07/07/16,36E-821,1
 2968A16217-   1,07/07/16,36Y-999,0.8
 2968A16217-   1,07/07/16,P03-001,12.6
 7152-24159-   1,07/07/16,36E-001,30.9
 7152-24159-   1,07/07/16,36E-273,30.9
 7152-24159-   1,07/07/16,36Y-999,0.8
 7152-24159-   1,07/07/16,P03-001,12.2
 2968A20672-   3,07/08/16,36E-102,31.5
 2968A20672-   3,07/08/16,36E-140,1.5
 2968A20672-   3,07/08/16,36E-169,20.7
 2968A20672-   3,07/08/16,36E-234,1.8
 2968A20672-   3,07/08/16,36E-298,2.3
 2968A20672-   3,07/08/16,36E-317,0.2
 2968A20672-   3,07/08/16,36E-418,2.5
 2968A20672-   3,07/08/16,36E-H92,2.5
 2968A20672-   3,07/08/16,36Y-999,0.8
 2968A20672-   3,07/08/16,P03-001,12.6
 2968A02945-   1,07/11/16,36E-102,26.2
 2968A02945-   1,07/11/16,36E-291,3
 2968A02945-   1,07/11/16,36E-296,5.2
 2968A02945-   1,07/11/16,36E-298,3.6
 2968A02945-   1,07/11/16,36E-299,15
 2968A02945-   1,07/11/16,36E-488,10.1
 2968A02945-   1,07/11/16,36Y-999,0.8
 2968A02945-   1,07/11/16,P03-001,12.6
 7740-23994-   1,07/13/16,72B-102,20.2
 7740-23994-   1,07/13/16,72B-193,18.6
 7740-23994-   1,07/13/16,72B-670,17.9
 7740-23994-   1,07/13/16,P4S-011,0.06
  642A24130-   2,07/14/16,PE5-141,33.32
  642A24130-   2,07/14/16,PE5-157,17.78
  642A24154-   1,07/14/16,PE5-011,1
  642A24154-   1,07/14/16,PE5-141,26.2
  642A24154-   1,07/14/16,PE5-169,23.4
 1005-24041-   1,07/14/16,22G-102,0.02
 1005-24041-   1,07/14/16,22G-169,1.2
 1005-24041-   1,07/14/16,22G-301,0.1
 1005-24041-   1,07/14/16,22G-335,1.2
 1005-24041-   1,07/14/16,22G-AA4,1.2
 1005-24041-   1,07/14/16,22G-K53,1.2
 1005-24041-   1,07/14/16,22G-M27,55.1
 2961A23944-   1,07/14/16,36E-001,26.6
 2961A23944-   1,07/14/16,36E-111,18.8
 2961A23944-   1,07/14/16,36E-304,0.7
 2961A23944-   1,07/14/16,36E-370,2.6
 2961A23944-   1,07/14/16,36E-576,0.7
 2961A23944-   1,07/14/16,36E-819,3.7
 2961A23944-   1,07/14/16,36E-M49,1.8
 2961A23944-   1,07/14/16,36E-P57,8.3
 2961A23944-   1,07/14/16,36Y-999,0.4
 2961A23944-   1,07/14/16,P03-001,12.6
 3835-24239-   1,07/14/16,36E-001,3.6
 3835-24239-   1,07/14/16,36E-144,3.3
 3835-24239-   1,07/14/16,36E-158,2.9
 3835-24239-   1,07/14/16,36E-272,3.1
 3835-24239-   1,07/14/16,36E-318,3.1
 3835-24239-   1,07/14/16,36E-360,3.4
 3835-24239-   1,07/14/16,36E-B91,32.8
 3835-24239-   1,07/14/16,36E-P57,37.4
 3835-24239-   1,07/14/16,36Y-999,1.2
 3835-24239-   1,07/14/16,P03-001,15.6
 7152-24141-   1,07/14/16,36E-001,16.5
 7152-24141-   1,07/14/16,36E-102,45.2
 7152-24141-   1,07/14/16,36Y-999,0.8
 7152-24141-   1,07/14/16,P03-001,12.2
 1891J23525-   1,07/15/16,36E-193,7.3
 1891J23525-   1,07/15/16,36E-396,12.8
 1891J23525-   1,07/15/16,36E-A66,21.1
 1891J23525-   1,07/15/16,36E-M18,5.7
 1891J23525-   1,07/15/16,36E-N93,16.8
 1891J23525-   1,07/15/16,36Y-999,0.8
 1891J23525-   1,07/15/16,P03-001,12.6
 3849F23827-   1,07/15/16,36E-001,24.6
 3849F23827-   1,07/15/16,36E-136,1.1
 3849F23827-   1,07/15/16,36E-286,2.5
 3849F23827-   1,07/15/16,36E-360,5
 3849F23827-   1,07/15/16,36E-418,5.1
 3849F23827-   1,07/15/16,36E-529,3.5
 3849F23827-   1,07/15/16,36E-M16,8.4
 3849F23827-   1,07/15/16,36E-M27,16.2
 3849F23827-   1,07/15/16,36E-N93,0.5
 3849F23827-   1,07/15/16,36Y-999,1
 3849F23827-   1,07/15/16,P03-001,15.3
 7675-21565-MGRG,07/19/16,25A-004,67.8
 2961A21410-   1,07/20/16,36E-102,33.2
 2961A21410-   1,07/20/16,36E-136,2.4
 2961A21410-   1,07/20/16,36E-181,5.1
 2961A21410-   1,07/20/16,36E-234,3.6
 2961A21410-   1,07/20/16,36E-272,4.3
 2961A21410-   1,07/20/16,36E-293,1.7
 2961A21410-   1,07/20/16,36E-295,0.5
 2961A21410-   1,07/20/16,36E-319,1.2
 2961A21410-   1,07/20/16,36E-576,4.2
 2961A21410-   1,07/20/16,36E-651,1.9
 2961A21410-   1,07/20/16,36E-B91,3.1
 2961A21410-   1,07/20/16,36E-J18,1.8
 2961A21410-   1,07/20/16,36Y-999,0.8
 2961A21410-   1,07/20/16,P03-001,12.6
 2968A02956-   1,07/20/16,36E-102,31.6
 2968A02956-   1,07/20/16,36E-181,2.6
 2968A02956-   1,07/20/16,36E-299,3.7
 2968A02956-   1,07/20/16,36E-380,5
 2968A02956-   1,07/20/16,36E-396,12.5
 2968A02956-   1,07/20/16,36E-883,2.1
 2968A02956-   1,07/20/16,36E-886,5.7
 2968A02956-   1,07/20/16,36Y-999,0.8
 2968A02956-   1,07/20/16,P03-001,12.6
 7152-18059-   1,07/20/16,36E-272,18.4
 7152-18059-   1,07/20/16,36E-319,3.5
 7152-18059-   1,07/20/16,36E-822,25.2
 7152-18059-   1,07/20/16,36E-824,1.7
 7152-18059-   1,07/20/16,36E-825,8.4
 7152-18059-   1,07/20/16,36E-883,4.6
 7152-18059-   1,07/20/16,P03-001,12.2
 7152-22646-   1,07/20/16,36E-001,10.7
 7152-22646-   1,07/20/16,36E-102,30.7
 7152-22646-   1,07/20/16,36E-299,4.2
 7152-22646-   1,07/20/16,36E-320,14
 7152-22646-   1,07/20/16,36E-493,2
 7152-22646-   1,07/20/16,36Y-999,0.8
 7152-22646-   1,07/20/16,P03-001,12.2
  513A23901-   1,07/21/16,80A-193,36.2
  513A23901-   1,07/21/16,80A-390,24.4
  513A23901-   1,07/21/16,80A-M29,5.7
  542A14091- V43,07/21/16,80A-V43,59.6
  542A22664-   1,07/21/16,80A-102,1.6
  542A22664-   1,07/21/16,80A-157,31.8
  542A22664-   1,07/21/16,80A-193,2
  542A22664-   1,07/21/16,80A-670,1.6
