Type,Yarn#,Description,Pounds,,Usage,,,Lbs/Wk,MillStyle,,
Pur,P03-001,26/2COTTON,1840,,,,,0,   5302-18001-3   ,,
Pur,P03-001,26/2COTTON,2650,,,,,0,   5302-18001-6   ,,
Pur,P03-001,26/2COTTON,1288,,,,,0,   5302-20696-2   ,,
Pur,P03-001,26/2COTTON,1215,,,,,0,   5302-22909-1   ,,
Pur,P03-001,26/2COTTON,442,,,,,0,   5302-18881-1   ,,
Pur,P03-001,26/2COTTON,221,,,,,0,   5302-24412-1   ,,
Pur,P22-011,WHT NAT,2,,,,,0,   7652-22384-1   ,,
Pur,P22-011,WHT NAT,20,,PkgDye,,,0,    759A23778-1   ,,
Pur,P22-011,WHT NAT,434,,,,,0,    618A23843-1   ,,
Pur,P22-011,WHT NAT,58,,PkgDye,,,0,    618A23843-1   ,,
Pur,P22-011,WHT NAT,112,,,,,0,    618A23843-2   ,,
Pur,P22-011,WHT NAT,879,,PkgDye,,,0,    618A23843-2   ,,
Pur,P22-011,WHT NAT,1204,,PkgDye,,,0,    435A23483-2   ,,
Pur,P22-011,WHT NAT,1204,,PkgDye,,,0,    435A23483-3   ,,
Pur,P22-011,WHT NAT,507,,,,,0,    435A23483-1   ,,
Pur,P22-011,WHT NAT,692,,PkgDye,,,0,    435A23483-1   ,,
Pur,P22-011,WHT NAT,468,,,,,0,    972-19033-GRG ,,
Pur,P22-011,WHT NAT,1482,,,,,0,    435A19910-GRG ,,
Pur,P3E-011,NAT,47303,,,,,0,   8030-18739-GRG ,,
Pur,P3E-011,NAT,19604,,,,,0,   8035-20088-GRG ,,
Pur,P3E-011,NAT,4649,,,,,0,   8038-21630-GRG ,,
Pur,P3E-011,NAT,927,,,,,0,   8012-18826-GRG ,,
Pur,P3F-011,NAT,36565,,,,,0,   8030-18739-GRG ,,
Pur,P3F-011,NAT,16509,,,,,0,   8035-20088-GRG ,,
Pur,P3F-011,NAT,8954,,,,,0,   8038-21630-GRG ,,
Pur,P4S-011,WHITE NAT,3,,,,,0,   7652-22833-1   ,,
Pur,P4S-011,WHITE NAT,3,,,,,0,   7652-23580-1   ,,
Pur,P4S-011,WHITE NAT,3,,,,,0,   7652-23580-2   ,,
Pur,P4S-011,WHITE NAT,1,,,,,0,   7652-23581-1   ,,
Pur,P4S-011,WHITE NAT,1,,,,,0,   7652-23582-1   ,,
Pur,P4S-011,WHITE NAT,1,,,,,0,   7652-23883-1   ,,
Pur,P4S-011,WHITE NAT,1,,,,,0,   7652-23888-1   ,,
Pur,P4S-011,WHITE NAT,1,,,,,0,   7652-24078-1   ,,
