Type,Yarn#,Description,Pounds,Mill,Usage,Loss%,Lbs/Wk,Run Lbs,RunLbs/Wk,MillStyle,,
Spun,16A-069,GOLD,360,W,,12.00,,360,,   5302-18001-3   ,,
Spun,16A-069,GOLD,518,W,,12.00,,518,,   5302-18001-6   ,,
Spun,16A-069,GOLD,616,W,,12.00,,616,,   5302-20696-2   ,,
Spun,16A-069,GOLD,29,W,,12.00,,29,,   5302-24412-1   ,,
Spun,16A-102,BLACK,540,W,,12.00,,540,,   5302-18001-3   ,,
Spun,16A-102,BLACK,778,W,,12.00,,778,,   5302-18001-6   ,,
Spun,16A-102,BLACK,2310,W,,12.00,,2310,,   5302-22909-1   ,,
Spun,16A-102,BLACK,5,W,,12.00,,5,,   5302-18881-1   ,,
Spun,16A-102,BLACK,96,W,,12.00,,96,,   5302-24412-1   ,,
Spun,16A-140,NAVY,1372,W,,12.00,,1372,,   5302-20696-2   ,,
Spun,16A-278,RED,800,W,,12.00,,800,,   5302-18001-3   ,,
Spun,16A-278,RED,1152,W,,12.00,,1152,,   5302-18001-6   ,,
Spun,16A-278,RED,31,W,,12.00,,31,,   5302-24412-1   ,,
Spun,16A-584,DRAB,540,W,,12.00,,540,,   5302-18001-3   ,,
Spun,16A-584,DRAB,778,W,,12.00,,778,,   5302-18001-6   ,,
Spun,16A-584,DRAB,132,W,,12.00,,132,,   5302-22909-1   ,,
Spun,16A-584,DRAB,101,W,,12.00,,101,,   5302-24412-1   ,,
Spun,16A-P81,RED MIX,742,W,,12.00,,742,,   5302-20696-2   ,,
Spun,16A-P81,RED MIX,2679,W,,12.00,,2679,,   5302-22909-1   ,,
Spun,16A-P81,RED MIX,1387,W,,12.00,,1387,,   5302-18881-1   ,,
Spun,16A-P81,RED MIX,1790,W,,12.00,,1790,,   5302-24412-1   ,,
Spun,16A-P82,GREEN MIX,14740,W,,12.00,,14740,,   5302-18001-3   ,,
Spun,16A-P82,GREEN MIX,1008,W,,12.00,,1008,,   5302-18001-6   ,,
Spun,16A-P82,GREEN MIX,3999,W,,12.00,,3999,,   5302-22909-1   ,,
Spun,16A-P82,GREEN MIX,710,W,,12.00,,710,,   5302-18881-1   ,,
Spun,16A-Q01,BLUE MIX,700,W,,12.00,,700,,   5302-18001-3   ,,
Spun,16A-Q01,BLUE MIX,9646,W,,12.00,,9646,,   5302-20696-2   ,,
Spun,16A-Q01,BLUE MIX,1459,W,,12.00,,1459,,   5302-18881-1   ,,
Spun,16A-Q01,BLUE MIX,74,W,,12.00,,74,,   5302-24412-1   ,,
Spun,16A-Q79,BROWN MIX,21226,W,,12.00,,21226,,   5302-18001-6   ,,
Spun,16A-Q79,BROWN MIX,2679,W,,12.00,,2679,,   5302-22909-1   ,,
Spun,16A-Q79,BROWN MIX,677,W,,12.00,,677,,   5302-18881-1   ,,
Spun,16F-001,WHT NAT,584,W,,,,584,,    308A24003-1   ,,
Spun,16F-102,BLACK,584,W,,18.00,,584,,    308A24003-1   ,,
Spun,22E-001,WHITE,2288,W,,6.00,,3146,,    285A-LGRG     ,,
Spun,22E-005,MED NAT,27446,W,,6.00,,37738,,    285A-MGRG     ,,
Spun,22E-007,DK NAT,11533,W,,6.00,,15858,,    285A-DGRG     ,,
